installation_id,name,latitude,longitude,accuracy
419351,1220cc-122-1,43.069064399999995,-89.4066874,20
418533,1220cc-125-1,43.0688902,-89.4067875,20
419142,1220cc-140-1,43.0689242,-89.40641719999999,20
418868,1220cc-144-1,43.069335699999996,-89.4064212,34
419098,1220cc-165-1,43.0690807,-89.4063931,20
419097,1220cc-173-1,43.0690242,-89.4060743,20
419558,1220cc-179-1,43.0693896,-89.4059106,32
418511,1220cc-211-1,43.06896880000001,-89.40664439999999,30
418417,1220cc-218-1,43.069113,-89.4067682,20
418504,1220cc-244-1,43.0690179,-89.4063537,20
418461,1220cc-260-1,43.068913599999995,-89.40619749999999,30
418367,1220cc-263-1,43.069025499999995,-89.40618719999999,20
418366,1220cc-266-1,43.0690722,-89.4061894,20
420150,1220cc-273-1,43.0690093,-89.40599610000001,20
418884,1220cc-b107-1,43.0688427,-89.40660559999999,20
418154,1220cc-b114-1,43.069119199999996,-89.40673919999999,23
418153,1220cc-b126-1,43.0688776,-89.4067522,20
420433,1220cc-b151-1,43.068914,-89.406415,23
418893,1220cc-b157-1,43.0693505,-89.4061782,20
418894,1220cc-b161-1,43.0687581,-89.4062768,30
420845,1220cc-b171c-1,43.068861299999995,-89.4060608,20
418974,1220cc-b190a-1,43.0688402,-89.406466,20
418202,1220cc-w309-1,43.0689856,-89.4070626,20
412371,1403ua-103-1,43.073402699999995,-89.4099207,30
413926,1403ua-105-1,43.07339,-89.4099368,30
412379,1403ua-108-1,43.0733627,-89.41003359999999,30
412039,1403ua-200l-1,43.073405699999995,-89.41015949999999,30
415871,1403ua-200q-1,43.0731439,-89.4094448,31
412086,1403ua-222-1,43.073277399999995,-89.4095979,30
412230,1403ua-227-1,43.073268999999996,-89.4095104,30
412040,1403ua-233-1,43.073200899999996,-89.40928,30
421093,1410jd-1-1,43.0723742,-89.4090638,30
419468,1410jd-101-1,43.072330300000004,-89.4090848,30
419350,1410jd-145-1,43.072404299999995,-89.4098958,20
421333,1410jd-160-1,43.072769199999996,-89.40985359999999,30
419246,1410jd-170-1,43.072839699999996,-89.4091413,30
419245,1410jd-180-1,43.0727901,-89.4086909,30
420977,1410jd-208-1,43.072468699999995,-89.4082707,30
421348,1410jd-22-1,43.0722892,-89.4096131,20
420637,1410jd-225-1,43.0723491,-89.40975499999999,20
421168,1410jd-252-1,43.0725717,-89.4100862,30
419873,1410jd-266-1,43.07289170000001,-89.4088409,30
421025,1410jd-283-1,43.07275930000001,-89.40882839999999,30
419898,1410jd-292-1,43.0727514,-89.4085193,30
421684,1410jd-40-1,43.0724612,-89.4100033,20
421710,1410jd-66-1,43.072728999999995,-89.4099775,20
420988,1410jd-94-1,43.0727317,-89.4093055,20
418398,1433m-101-1,43.0688556,-89.4105282,20
418283,1433m-104-1,43.0686944,-89.41019329999999,20
420354,1433m-105-1,43.0687692,-89.41051259999999,20
419909,1433m-124-1,43.069233,-89.41058009999999,30
419962,1433m-125-1,43.069077,-89.4104605,20
418776,1433m-130-1,43.069271799999996,-89.4105427,30
419840,1433m-140-1,43.0691182,-89.4103938,20
420343,1433m-140-2,43.0690946,-89.41039280000001,20
420299,1433m-150a-1,43.069207299999995,-89.41037030000001,20
418221,1433m-156a-1,43.0688933,-89.40996179999999,30
418775,1433m-165-1,43.0691443,-89.41051089999999,20
418373,1433m-201-1,43.068827999999996,-89.4102856,30
419660,1433m-206-1,43.0690957,-89.41088429999999,30
420033,1433m-206-2,43.06907770000001,-89.4108773,30
412542,1610ua-102-1,43.073522499999996,-89.4143938,30
415268,1610ua-106-1,43.0737125,-89.41387309999999,30
414697,1610ua-109-1,43.0738045,-89.4143106,30
412228,1610ua-114-1,43.073378399999996,-89.4146141,30
412393,1610ua-119-1,43.073544,-89.4143945,30
415939,1610ua-b104-1,43.073766899999995,-89.414276,30
418589,1800ua-102-1,43.0734346,-89.4160102,30
420623,1910lin-16-1,43.075629899999996,-89.41779749999999,30
418230,1910lin-9-1,43.0756237,-89.41799979999999,30
413743,1930m-202-1,43.0640819,-89.4189155,20
413744,1930m-209-1,43.064231799999995,-89.4188483,20
414522,1930m-219-1,43.064302999999995,-89.4188331,20
415762,1930m-229-1,43.0642755,-89.4187401,20
415174,1930m-233-1,43.0641859,-89.4187401,20
413824,1930m-243-1,43.0641311,-89.41859409999999,30
414409,1930m-250-1,43.0639241,-89.4189348,20
416241,1930m-253-1,43.0638523,-89.41876839999999,30
415919,1930m-259-1,43.0637896,-89.418917,45
417221,1930m-321-1,43.0641284,-89.418735,20
418470,206bc-102-1,43.071438799999996,-89.4017046,20
418300,206bc-302-1,43.071531199999995,-89.4015812,30
418244,2100obdr-pole1-1,43.077081799999995,-89.4242082,30
418173,2100obdr-pole11-1,43.0767617,-89.4226632,30
418174,2100obdr-pole12-1,43.0768382,-89.4232609,30
418215,2100obdr-pole16-1,43.0779038,-89.4245892,30
418336,2100obdr-pole2-1,43.076987,-89.4243901,30
418297,2100obdr-pole7-1,43.0775438,-89.4240717,52
420640,2115h-7-1,43.075391499999995,-89.422814,30
418249,2115h-outside-1,43.075316699999995,-89.4222949,30
418911,30nmills-118-1,43.068433899999995,-89.40430049999999,30
418523,30nmills-150-1,43.0687297,-89.40492979999999,30
418865,30nmills-201-1,43.0686359,-89.4044483,30
418185,30nmills-218-1,43.0683625,-89.40447309999999,30
418639,30nmills-308-1,43.0685979,-89.40416909999999,30
420266,30nmills-326-1,43.0682143,-89.4044918,30
419789,30nmills-347-1,43.068619399999996,-89.40473689999999,20
420952,30nmills-354-1,43.0686634,-89.40464159999999,30
418476,30nmills-362-1,43.0687469,-89.4048078,30
421391,30nmills-366-1,43.0687025,-89.4046042,30
418538,30nmills-405-1,43.0686725,-89.40410419999999,30
418539,30nmills-414-1,43.0685479,-89.4041649,30
418556,30nmills-420-1,43.068010199999996,-89.404423,30
